iter	Logloss
0	0.6896567575
1	0.686497779
2	0.6838974059
3	0.6812223469
4	0.6778458239
5	0.6749459257
6	0.6721336276
7	0.6690838993
8	0.6664889848
9	0.663496488
10	0.6601585192
11	0.6572365545
12	0.6541587906
13	0.6515099251
14	0.649240342
15	0.6468741676
16	0.6438019817
17	0.6406805728
18	0.6383236106
19	0.6352094021
20	0.6325126338
21	0.6300295854
22	0.6276817532
23	0.6256143694
24	0.6229721891
25	0.6208237089
26	0.6184097433
27	0.6163981013
28	0.6140004281
29	0.6118753177
30	0.6096867997
31	0.6075712735
32	0.6053672543
33	0.6031408034
34	0.6008929044
35	0.5980755737
36	0.5957877944
37	0.5936389756
38	0.5915640773
39	0.5896505939
40	0.5875750635
41	0.5851660358
42	0.5827737476
43	0.5803900918
44	0.5783318744
45	0.5762009041
46	0.5739685812
47	0.5719737719
48	0.5700666687
49	0.5686069885
50	0.5667547455
51	0.5648313678
52	0.5629146283
53	0.5606970011
54	0.5585483324
55	0.5567121106
56	0.5547274322
57	0.5527225728
58	0.5509821215
59	0.5496305265
60	0.5475579177
61	0.5455904428
62	0.5438105713
63	0.5421719199
64	0.5404401038
65	0.5387700322
66	0.5370833095
67	0.5355104353
68	0.5338637839
69	0.5322892737
70	0.5305811738
71	0.5294311578
72	0.5279691972
73	0.5264727339
74	0.5248230194
75	0.5233338915
76	0.5219509431
77	0.5205096586
78	0.5189674206
79	0.5173992764
80	0.5157754102
81	0.5142392571
82	0.5127120648
83	0.5114924962
84	0.510044607
85	0.5092793296
86	0.5081361689
87	0.5068107133
88	0.5053345189
89	0.5041713219
90	0.5030377185
91	0.5015758906
92	0.5001936539
93	0.4988718146
94	0.4974812473
95	0.4966583557
96	0.4953894499
97	0.493911796
98	0.4926326225
99	0.4911439395
