iter	Passed	Remaining
0	0	69
1	1	67
2	2	64
3	2	65
4	3	62
5	3	60
6	4	59
7	5	58
8	5	56
9	6	56
10	6	55
11	7	54
12	8	54
13	8	54
14	9	53
15	10	53
16	10	52
17	11	51
18	11	50
19	12	50
20	13	49
21	13	49
22	14	48
23	15	48
24	15	47
25	16	46
26	17	46
27	17	45
28	18	44
29	18	43
30	19	43
31	20	42
32	20	42
33	21	41
34	22	40
35	22	40
36	23	40
37	24	39
38	25	39
39	25	38
40	26	38
41	27	37
42	27	37
43	28	36
44	29	35
45	29	35
46	30	34
47	31	33
48	31	33
49	32	32
50	32	31
51	33	31
52	34	30
53	34	29
54	35	29
55	36	28
56	36	27
57	37	27
58	37	26
59	38	25
60	39	25
61	39	24
62	40	23
63	41	23
64	41	22
65	42	21
66	42	21
67	43	20
68	44	19
69	44	19
70	45	18
71	46	17
72	46	17
73	47	16
74	47	15
75	48	15
76	49	14
77	49	14
78	50	13
79	51	12
80	51	12
81	52	11
82	52	10
83	53	10
84	54	9
85	54	8
86	55	8
87	56	7
88	56	7
89	57	6
90	58	5
91	58	5
92	59	4
93	59	3
94	60	3
95	61	2
96	61	1
97	62	1
98	63	0
99	63	0
